agent,trial,episode,cumulativeReward,averageReward,cumulativeSteps,numSteps
R-AMDP,2,24,-2329.0,3.2,2605.0,5.0
R-AMDP,2,25,-2312.0,4.25,2609.0,4.0
R-AMDP,2,26,-2295.0,4.25,2613.0,4.0
R-AMDP,2,27,-2503.0,-0.9454545454545454,2833.0,220.0
R-AMDP,2,28,-2486.0,4.25,2837.0,4.0
R-AMDP,2,29,-2469.0,4.25,2841.0,4.0
R-AMDP,3,0,-509.0,-1.018,500.0,500.0
R-AMDP,3,1,-665.0,-0.8813559322033898,677.0,177.0
R-AMDP,3,2,-1219.0,-1.108,1177.0,500.0
R-AMDP,3,3,-1566.0,-0.9914285714285714,1527.0,350.0
R-AMDP,3,4,-2102.0,-1.072,2027.0,500.0
R-AMDP,3,5,-2104.0,-0.14285714285714285,2041.0,14.0
R-AMDP,3,6,-2506.0,-1.0634920634920635,2419.0,378.0
R-AMDP,3,7,-2489.0,4.25,2423.0,4.0
R-AMDP,3,8,-2770.0,-0.9894366197183099,2707.0,284.0
R-AMDP,3,9,-2753.0,4.25,2711.0,4.0
R-AMDP,3,10,-2739.0,2.0,2718.0,7.0
R-AMDP,3,11,-2725.0,2.0,2725.0,7.0
R-AMDP,3,12,-2709.0,3.2,2730.0,5.0
R-AMDP,3,13,-2917.0,-0.9454545454545454,2950.0,220.0
R-AMDP,3,14,-3480.0,-1.126,3450.0,500.0
R-AMDP,3,15,-3463.0,4.25,3454.0,4.0
R-AMDP,3,16,-3447.0,3.2,3459.0,5.0
R-AMDP,3,17,-3430.0,4.25,3463.0,4.0
R-AMDP,3,18,-3416.0,2.0,3470.0,7.0
R-AMDP,3,19,-3516.0,-0.970873786407767,3573.0,103.0
R-AMDP,3,20,-3499.0,4.25,3577.0,4.0
R-AMDP,3,21,-3482.0,4.25,3581.0,4.0
R-AMDP,3,22,-3715.0,-0.9510204081632653,3826.0,245.0
R-AMDP,3,23,-3698.0,4.25,3830.0,4.0
R-AMDP,3,24,-3681.0,4.25,3834.0,4.0
R-AMDP,3,25,-3665.0,3.2,3839.0,5.0
R-AMDP,3,26,-3649.0,3.2,3844.0,5.0
R-AMDP,3,27,-3779.0,-0.9154929577464789,3986.0,142.0
R-AMDP,3,28,-3762.0,4.25,3990.0,4.0
R-AMDP,3,29,-3746.0,3.2,3995.0,5.0
R-AMDP,4,0,-536.0,-1.072,500.0,500.0
R-AMDP,4,1,-1054.0,-1.036,1000.0,500.0
R-AMDP,4,2,-1599.0,-1.09,1500.0,500.0
R-AMDP,4,3,-2126.0,-1.054,2000.0,500.0
R-AMDP,4,4,-2279.0,-1.0408163265306123,2147.0,147.0
R-AMDP,4,5,-2896.0,-1.234,2647.0,500.0
